image	occupancy	floors	year	label	prediction	probability
StreetViewx-80.355508x25.559593.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	1995	RES1	RES1	0.9758507013320924
StreetViewx-80.353867x25.559781.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9978259205818176
StreetViewx-80.353992x25.559795.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9966576099395752
StreetViewx-80.350287x25.559796.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES3	0.9894766807556152
StreetViewx-80.354994x25.559810.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.9999834299087524
StreetViewx-80.355111x25.559852.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2006	RES1	RES1	0.9999821186065674
StreetViewx-80.355238x25.559890.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2006	RES1	RES3	0.9992330074310304
StreetViewx-80.354399x25.560075.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9999998807907104
StreetViewx-80.355634x25.560199.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2010	RES1	RES1	0.6943637132644653
StreetViewx-80.356178x25.560267.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.9999762773513794
StreetViewx-80.348675x25.560307.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	1.0
StreetViewx-80.351253x25.560320.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES3	0.9993897676467896
StreetViewx-80.355385x25.560327.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2006	RES1	RES1	0.9995461106300354
StreetViewx-80.353370x25.560344.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.9946649074554444
StreetViewx-80.351994x25.560361.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2011	RES1	RES1	1.0
StreetViewx-80.349825x25.560524.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.9691165685653688
StreetViewx-80.354896x25.560542.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.9999994039535522
StreetViewx-80.350292x25.560571.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES3	0.999995231628418
StreetViewx-80.349281x25.560587.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES3	0.9992295503616332
StreetViewx-80.348523x25.560617.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	1993	RES1	COM	0.9997660517692566
StreetViewx-80.351745x25.560638.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.999704897403717
StreetViewx-80.348334x25.560683.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES3	0.9620152115821838
StreetViewx-80.348197x25.560731.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.945081353187561
StreetViewx-80.353132x25.560878.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	1995	RES1	RES1	0.9999271631240844
StreetViewx-80.356031x25.560924.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	1995	RES1	RES1	0.9999992847442628
StreetViewx-80.352574x25.561022.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.993382215499878
StreetViewx-80.351249x25.561052.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES3	0.962165355682373
StreetViewx-80.349757x25.561065.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.9060201048851012
StreetViewx-80.355184x25.561120.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	COM	0.9929699301719666
StreetViewx-80.352240x25.561179.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.9992573857307434
StreetViewx-80.347437x25.561380.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	1995	RES1	COM	0.7164176106452942
StreetViewx-80.350751x25.561457.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	COM	0.9595929384231568
StreetViewx-80.353334x25.561637.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9530349373817444
StreetViewx-80.347383x25.561660.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2006	RES1	RES1	0.594110906124115
StreetViewx-80.348977x25.561683.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES3	0.9969850182533264
StreetViewx-80.349598x25.561685.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	1.0
StreetViewx-80.354006x25.561698.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	1995	RES1	RES1	0.9675059914588928
StreetViewx-80.351468x25.561801.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES3	0.8702477812767029
StreetViewx-80.355089x25.561989.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	1.0
StreetViewx-80.349055x25.562098.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.5150191783905029
StreetViewx-80.348609x25.562255.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2006	RES1	RES1	0.9999922513961792
StreetViewx-80.349226x25.562257.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2000	RES1	RES3	0.8186191320419312
StreetViewx-80.353965x25.562288.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	1995	RES1	RES3	0.999996781349182
StreetViewx-80.353330x25.562305.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2000	RES1	RES3	0.9999923706054688
StreetViewx-80.349242x25.562552.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	1995	RES1	RES1	0.990455687046051
StreetViewx-80.333847x25.563502.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	COM	0.9995869994163512
StreetViewx-80.352085x25.563540.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9992376565933228
StreetViewx-80.352757x25.563718.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	1995	RES1	RES1	0.9999885559082032
StreetViewx-80.351950x25.563756.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9999343156814576
StreetViewx-80.351124x25.563803.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	1995	RES1	RES3	0.9571695327758788
StreetViewx-80.354140x25.563821.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9999995231628418
StreetViewx-80.338793x25.564108.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.9957256317138672
StreetViewx-80.352247x25.564116.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2006	RES1	RES1	1.0
StreetViewx-80.338295x25.564124.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES3	0.9939696788787842
StreetViewx-80.334936x25.564172.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	COM	0.976817548274994
StreetViewx-80.337563x25.564216.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2011	RES1	RES1	0.9995144605636596
StreetViewx-80.353755x25.564245.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9999780654907228
StreetViewx-80.353035x25.564279.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.998824179172516
StreetViewx-80.351753x25.564397.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.9889509081840516
StreetViewx-80.351388x25.564479.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9999908208847046
StreetViewx-80.334051x25.564510.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.9999958276748656
StreetViewx-80.336277x25.564547.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2011	RES1	RES1	0.9995923638343812
StreetViewx-80.335728x25.564551.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2011	RES1	RES1	0.9604400396347046
StreetViewx-80.350858x25.564556.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.8757078051567078
StreetViewx-80.352477x25.564682.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9956393241882324
StreetViewx-80.336790x25.564762.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2011	RES1	RES1	0.9976366758346558
StreetViewx-80.353223x25.564784.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9999964237213136
StreetViewx-80.332984x25.564878.png	RESIDENTIAL - TOTAL VALUE : TOWNHOUSE	2	0	RES3	RES3	0.5831694006919861
StreetViewx-80.339804x25.565041.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2006	RES1	RES3	0.9999593496322632
StreetViewx-80.350872x25.565044.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.999798595905304
StreetViewx-80.351539x25.565084.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.6684861183166504
StreetViewx-80.352895x25.565136.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9845241904258728
StreetViewx-80.338245x25.565143.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2006	RES1	RES3	0.999996304512024
StreetViewx-80.336375x25.565226.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2011	RES1	RES1	0.9996511936187744
StreetViewx-80.336088x25.565241.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.9755591750144958
StreetViewx-80.338409x25.565244.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.9997127652168274
StreetViewx-80.335691x25.565329.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2011	RES1	RES1	0.9999972581863404
StreetViewx-80.352182x25.565507.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2014	RES1	RES1	0.999998927116394
StreetViewx-80.334924x25.565533.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.998001992702484
StreetViewx-80.338396x25.565547.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.5301969647407532
StreetViewx-80.336937x25.565553.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2011	RES1	RES1	0.9999185800552368
StreetViewx-80.336053x25.565561.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2011	RES1	RES1	0.8424009680747986
StreetViewx-80.335633x25.565700.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2011	RES1	RES1	0.999985694885254
StreetViewx-80.339912x25.565710.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2006	RES1	RES1	0.9968276619911194
StreetViewx-80.332863x25.565822.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.9976440072059632
StreetViewx-80.333107x25.565824.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.999777853488922
StreetViewx-80.350717x25.565828.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	1995	RES1	RES1	0.9983018636703492
StreetViewx-80.352086x25.565905.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.9978189468383788
StreetViewx-80.334547x25.565936.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2006	RES1	RES1	0.9986819624900818
StreetViewx-80.334069x25.565938.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES3	0.9998075366020204
StreetViewx-80.334071x25.566051.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.9999289512634276
StreetViewx-80.332030x25.566089.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.5155072212219238
StreetViewx-80.336838x25.566112.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2011	RES1	RES1	0.9999988079071044
StreetViewx-80.337179x25.566120.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.9999876022338868
StreetViewx-80.332496x25.566131.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES3	0.9984225034713744
StreetViewx-80.332739x25.566141.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9974101185798644
StreetViewx-80.335611x25.566181.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2011	RES1	RES3	0.5791170597076416
StreetViewx-80.351170x25.566240.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.736865222454071
StreetViewx-80.337183x25.566244.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	1.0
StreetViewx-80.347043x25.566271.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	COM	0.9980502128601074
StreetViewx-80.336825x25.566353.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2006	RES1	RES1	0.999968647956848
StreetViewx-80.332038x25.566422.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2006	RES1	RES3	0.9995759129524232
StreetViewx-80.334757x25.566439.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES3	0.7996827363967896
StreetViewx-80.332033x25.566537.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2006	RES1	RES1	0.9896411299705504
StreetViewx-80.335606x25.566552.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2007	RES1	RES1	0.9863494038581848
StreetViewx-80.342045x25.566591.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	COM	0.9997043013572692
StreetViewx-80.332040x25.566643.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.999992609024048
StreetViewx-80.336617x25.566732.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2006	RES1	RES1	0.9999997615814208
StreetViewx-80.348870x25.566849.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.7093315124511719
StreetViewx-80.340457x25.566884.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9999911785125732
StreetViewx-80.327052x25.566903.png	RESIDENTIAL - TOTAL VALUE : TOWNHOUSE	2	0	RES3	RES3	0.9846353530883788
StreetViewx-80.346310x25.566966.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	1.0
StreetViewx-80.334584x25.566984.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES3	0.9999899864196776
StreetViewx-80.333723x25.567017.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2006	RES1	RES1	0.9999576807022096
StreetViewx-80.350080x25.567027.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	RES1	0.8642183542251587
StreetViewx-80.330542x25.567121.png	RESIDENTIAL - TOTAL VALUE : TOWNHOUSE	2	0	RES3	RES3	0.9744406938552856
StreetViewx-80.339723x25.567154.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	0	RES1	COM	0.9986138343811036
StreetViewx-80.354931x25.567180.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1959	RES1	RES1	0.9995442032814026
StreetViewx-80.327035x25.567245.png	RESIDENTIAL - TOTAL VALUE : TOWNHOUSE	2	0	RES3	RES1	0.7925912141799927
StreetViewx-80.344879x25.567305.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.9999605417251588
StreetViewx-80.346736x25.567420.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	2011	RES1	RES1	0.999991536140442
StreetViewx-80.333716x25.567428.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2000	RES1	RES3	0.9942296743392944
StreetViewx-80.356972x25.567592.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1971	RES1	RES1	0.9693041443824768
StreetViewx-80.356617x25.567597.png	RESIDENTIAL - SINGLE FAMILY : 1 UNIT	1	1990	RES1	RES3	0.9995349645614624
StreetViewx-80.344118x25.567613.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	0	RES1	RES1	0.99999737739563
StreetViewx-80.339832x25.567683.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	2	2003	RES1	RES1	0.9999998807907104
StreetViewx-80.346747x25.567738.png	RESIDENTIAL - SINGLE FAMILY : CLUSTER HOME	1	1995	RES1	RES1	0.999997854232788
